chromosomeLength optimizedParameter 0,60maxF 0,70maxF 0,80maxF 0,90maxF 0,95maxF 0,98maxF 0,99maxF 1,00maxF 0,60%suc 0,70%suc 0,80%suc 0,90%suc 0,95%suc 0,98%suc 0,99%suc 1,00%suc
25 0 7,6 42,1 149,3 843,2 1388,6 2071,1 2071,1 2071,1 100 100 100 100 100 100 100 100
25 -0,02 3,3 48,2 228,6 605,0 879,4 1377,7 1377,7 1377,7 100 100 100 100 100 100 100 100
25 -0,05 3,9 28,8 130,9 577,6 686,1 935,1 935,1 935,1 100 100 100 100 100 100 100 100
25 -0,1 3,8 52,1 190,5 494,0 710,5 903,8 903,8 903,8 100 100 100 100 100 100 100 100
25 -0,25 5,3 63,0 149,3 448,7 567,3 709,6 709,6 709,6 100 100 100 100 100 100 100 100
25 -0,5 3,5 46,8 165,2 434,0 593,1 745,7 745,7 745,7 100 100 100 100 100 100 100 100
25 -0,75 4,2 48,6 120,7 503,6 590,5 750,8 750,8 750,8 100 100 100 100 100 100 100 100
25 -1 6,1 35,2 116,1 421,7 551,5 693,4 693,4 693,4 100 100 100 100 100 100 100 100
25 0,25 7,1 40,1 136,1 316,4 433,1 575,5 575,5 575,5 100 100 100 100 100 100 100 100
25 0,5 3,5 27,6 134,1 305,8 374,9 464,1 464,1 464,1 100 100 100 100 100 100 100 100
25 0,75 3,7 56,9 112,6 244,1 286,3 403,0 403,0 403,0 100 100 100 100 100 100 100 100
25 0,9 3,8 52,3 113,8 227,5 332,1 568,8 568,8 568,8 100 100 100 100 100 100 100 100
50 0 9,0 223,5 863,9 2296,0 3812,2 5148,3 8889,6 8889,6 100 100 100 100 100 100 100 100
50 -0,02 12,3 100,6 583,1 1335,6 2233,2 2790,6 3757,7 3757,7 100 100 100 100 100 100 100 100
50 -0,05 7,8 97,5 496,1 1036,0 1484,6 1868,3 2205,3 2205,3 100 100 100 100 100 100 100 100
50 -0,1 8,2 155,6 488,4 894,1 1346,3 1508,7 1738,4 1738,4 100 100 100 100 100 100 100 100
50 -0,25 6,8 127,8 455,2 872,9 1132,7 1324,9 1584,4 1584,4 100 100 100 100 100 100 100 100
50 -0,5 14,0 169,7 436,8 830,4 1153,6 1295,1 1487,6 1487,6 100 100 100 100 100 100 100 100
50 -0,75 4,6 112,1 415,9 800,2 1087,8 1268,8 1453,6 1453,6 100 100 100 100 100 100 100 100
50 -1 12,3 128,2 443,6 803,5 1111,5 1308,1 1486,5 1486,5 100 100 100 100 100 100 100 100
